,x_metric,y_metric,additional_delineation,correlation type,rho,pvalue,Pvalue_Bonferroni,Pvalue_BH,ROI,Structure,Figure X-Position Index
1,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,0.35,0.35581957250178897,1.0,0.5461416694213506,4.0,AON__Anterior_olfactory_nucleus_left,[4]
2,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.7999999999999999,0.00962792472537983,0.6354430318750688,0.06354430318750688,4.0,AON__Anterior_olfactory_nucleus_left,[4]
3,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.6666666666666667,0.0498672305688851,1.0,0.18284651208591204,4.0,AON__Anterior_olfactory_nucleus_left,[4]
4,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.39999999999999997,0.2861051019083128,1.0,0.47207341814871606,9.0,ACC__Anterior_cingulate_cortex_left,[9]
5,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.7,0.03576957497026169,1.0,0.14754949675232945,9.0,ACC__Anterior_cingulate_cortex_left,[9]
6,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.6166666666666666,0.07692880993776309,1.0,0.2115542273288485,9.0,ACC__Anterior_cingulate_cortex_left,[9]
7,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.5333333333333333,0.13922686754397814,1.0,0.31842962453408924,12.0,PIC__Piriform_cortex_left,[5]
8,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.45,0.22421610749233667,1.0,0.39995305660795194,12.0,PIC__Piriform_cortex_left,[5]
9,A Beta Load in FAD,Neuron Number in FAD,-,spearman,0.31666666666666665,0.4063970144863861,1.0,0.5830913686109017,12.0,PIC__Piriform_cortex_left,[5]
10,A Beta Load in FAD,Fractional Volume in FAD,-,spearman,-0.41666666666666663,0.26458604674749614,1.0,0.44776100218807036,25.0,VCS__Visual_cortex_secondary_(extrastriate)_left,[3]
11,A Beta Load in FAD,Neuron Density in FAD,-,spearman,0.8166666666666667,0.007224785246358786,0.47683582625967985,0.06354430318750688,25.0,VCS__Visual_cortex_secondary_(extrastriate)_left,[3]
